Total de equipos en la BD: 2404

Stints  País                  Nombre
     4  Desconocido           Numancia
     4  Desconocido           Atlético Nacional
     4  Desconocido           Pachuca
     4  Desconocido           Cartagena
     4  Desconocido           Platense
     4  Desconocido           Lokomotiva Zagreb
     4  Desconocido           União Leiria
     4  Desconocido           Fuenlabrada
     4  Desconocido           Extremadura
     4  Desconocido           Red Bull Bragantino
     4  Desconocido           Avranches
     4  Desconocido           New England Revolution
     4  Desconocido           AEK Athens
     4  Desconocido           ADO Den Haag
     4  Desconocido           Walsall
     4  Desconocido           Cambridge United
     4  Desconocido           Athletico Paranaense
     4  Desconocido           Scunthorpe United
     4  Desconocido           Sagan Tosu
     4  Desconocido           Heart of Midlothian
     4  Desconocido           Fehérvár
     4  Desconocido           Hampton & Richmond Borough
     4  Desconocido           Oldham Athletic
     4  Desconocido           Grasshoppers
     4  Desconocido           St Mirren
     4  Desconocido           TSV Hartberg
     4  Desconocido           Crawley Town
     4  Desconocido           Rotherham United
     4  Desconocido           Accrington Stanley
     4  Desconocido           Lille II
     4  Desconocido           Peterborough United
     4  Desconocido           Portimonense
     4  Desconocido           Rochdale
     4  Desconocido           Esbjerg
     4  Desconocido           Notts County
     4  Desconocido           RKC Waalwijk
     4  Desconocido           Dynamo Moscow
     4  Desconocido           Karlsruher SC II
     4  Desconocido           Shrewsbury Town
     4  Desconocido           Hamilton Academical
     4  Desconocido           Bordeaux B
     4  Desconocido           Cittadella
     4  Desconocido           Paris Saint-Germain II
     4  Desconocido           Olbia
     4  Desconocido           Banfield
     4  Desconocido           Cosenza
     4  Desconocido           Siena
     4  Desconocido           Virtus Francavilla
     4  Desconocido           Catanzaro
     4  Desconocido           Mantova
     4  Desconocido           Fortuna Düsseldorf II
     4  Desconocido           Mechelen
     4  Desconocido           Laval B
     4  Desconocido           Marseille B
     4  Desconocido           Latina
     4  Desconocido           Lokomotiv Moscow
     4  Desconocido           Nancy B
     4  Desconocido           Verona
     4  Desconocido           Zürich
     4  Desconocido           Çaykur Rizespor
     4  Desconocido           Al Ain
     4  Desconocido           Guingamp
     4  Desconocido           Huracán
     4  Desconocido           Estrela da Amadora
     4  Desconocido           Annecy
     4  Desconocido           CSKA Sofia
     4  Desconocido           Kashiwa Reysol
     4  Desconocido           Strasbourg II
     4  Desconocido           Bayer Leverkusen II
     4  Desconocido           Hannover 96 II
     4  Desconocido           Stafford Rangers
     4  Desconocido           Servette
     4  Desconocido           Clermont B
     4  Desconocido           Lens II
     4  Desconocido           Independiente
     4  Desconocido           Marseille II
     4  Desconocido           Al-Qadsiah
     4  Desconocido           Red Star
     4  Desconocido           Martigues
     4  Desconocido           Al Nasr
     4  Desconocido           Tigres UANL
     4  Desconocido           Guangzhou Evergrande
     4  Desconocido           Qatar SC
     4  Desconocido           Colo-Colo
     4  Desconocido           Adana Demirspor
     4  Desconocido           Athletic Bilbao
     3  Desconocido           Danubio
     3  Desconocido           Brest II
     3  Desconocido           Atlanta United
     3  Desconocido           Athletic Bilbao B
     3  Desconocido           Sabadell
     3  Desconocido           Amorebieta
     3  Desconocido           Barakaldo
     3  Desconocido           Sant Andreu
     3  Desconocido           Teleoptik
     3  Desconocido           Recreativo
     3  Desconocido           Deportivo B
     3  Desconocido           UCAM Murcia
     3  Desconocido           América de Cali
     3  Desconocido           Columbus Crew
     3  Desconocido           Cornellà
     3  Desconocido           Cruz Azul
     3  Desconocido           Győr
     3  Desconocido           APOEL
     3  Desconocido           Alcobendas
     3  Desconocido           Murcia
     3  Desconocido           Mallorca B
     3  Desconocido           FC Tokyo
     3  Desconocido           Inter Zaprešić
     3  Desconocido           Žilina
     3  Desconocido           Belenenses
     3  Desconocido           Real Murcia
     3  Desconocido           Bath City
     3  Desconocido           Salgaocar
     3  Desconocido           Deportivo A Coruña
     3  Desconocido           América Mineiro
     3  Desconocido           ASA
     3  Desconocido           Democrata GV-MG
     3  Desconocido           Chapecoense
     3  Desconocido           Figueirense
     3  Desconocido           Botafogo-SP
     3  Desconocido           Admira Wacker
     3  Desconocido           Hammarby IF
     3  Desconocido           Club NXT
     3  Desconocido           Dunkerque
